step , loss 
2962 , 16.90
2963 , 21.58
2964 , 50.01
2965 , 40.64
2966 , 35.23
2967 , 59.41
2968 , 24.80
2969 , 33.66
2970 , 23.23
2971 , 44.15
2972 , 29.71
2973 , 43.53
2974 , 41.10
2975 , 30.92
2976 , 25.85
3841 , 25.44
3842 , 72.14
3843 , 29.10
3844 , 43.46
3845 , 18.13
3846 , 22.70
3847 , 43.94
3848 , 31.63
3849 , 35.66
3850 , 34.94
3851 , 32.12
3852 , 77.05
3853 , 29.07
3854 , 26.73
3855 , 55.88
3856 , 34.11
3857 , 57.84
3858 , 21.71
3859 , 44.66
3860 , 24.92
3861 , 64.49
3862 , 33.56
3863 , 27.61
3864 , 21.81
3865 , 47.59
3866 , 30.12
3867 , 20.81
3868 , 28.75
3869 , 25.89
3870 , 20.21
3871 , 20.75
3872 , 18.26
3873 , 33.37
3874 , 12.59
3875 , 14.77
3876 , 40.83
3877 , 32.19
3878 , 34.00
3879 , 16.49
3880 , 27.48
3881 , 44.73
3882 , 55.70
3883 , 33.56
3884 , 42.65
3885 , 31.10
3886 , 38.05
3887 , 54.12
3888 , 56.05
3889 , 16.41
3890 , 23.69
3891 , 25.46
3892 , 34.71
3893 , 33.83
3894 , 51.62
3895 , 41.86
3896 , 46.46
3897 , 21.81
3898 , 64.18
3899 , 17.55
3900 , 35.74
3901 , 53.85
3902 , 25.10
3903 , 31.53
3904 , 36.66
3905 , 32.71
3906 , 19.28
3907 , 19.96
3908 , 21.23
3909 , 24.97
3910 , 29.30
3911 , 21.97
3912 , 51.37
3913 , 20.43
3914 , 18.25
3915 , 41.23
3916 , 39.43
3917 , 29.67
3918 , 28.63
3919 , 26.38
3920 , 13.33
3921 , 25.89
3922 , 16.60
3923 , 21.06
3924 , 48.69
3925 , 41.75
3926 , 35.95
3927 , 54.46
3928 , 22.76
3929 , 25.36
3930 , 24.16
3931 , 39.36
3932 , 27.56
3933 , 45.17
3934 , 37.57
3935 , 30.68
3936 , 24.25
4801 , 27.23
4802 , 79.40
4803 , 29.50
4804 , 44.02
4805 , 20.43
4806 , 21.95
4807 , 45.54
4808 , 36.40
4809 , 32.49
4810 , 36.66
4811 , 31.61
4812 , 67.65
4813 , 33.17
4814 , 28.93
4815 , 58.04
4816 , 38.84
4817 , 51.90
4818 , 19.79
4819 , 57.43
4820 , 20.95
4821 , 67.82
4822 , 35.24
4823 , 31.06
4824 , 22.72
4825 , 46.26
4826 , 23.69
4827 , 21.50
4828 , 34.60
4829 , 27.03
4830 , 22.27
4831 , 27.91
4832 , 16.00
4833 , 27.76
4834 , 14.68
4835 , 15.58
4836 , 50.08
4837 , 33.24
4838 , 32.20
4839 , 15.33
4840 , 29.99
4841 , 44.79
4842 , 54.49
4843 , 35.88
4844 , 47.83
4845 , 31.49
4846 , 37.68
4847 , 55.25
4848 , 52.64
4849 , 17.81
4850 , 20.88
4851 , 28.79
4852 , 33.42
4853 , 46.01
4854 , 50.90
4855 , 38.24
4856 , 47.28
4857 , 20.72
4858 , 55.81
4859 , 16.46
4860 , 34.27
4861 , 55.27
4862 , 23.48
4863 , 26.93
4864 , 36.08
4865 , 36.51
4866 , 23.11
4867 , 19.25
4868 , 27.11
4869 , 28.54
4870 , 27.27
4871 , 15.93
4872 , 40.63
4873 , 24.44
4874 , 15.83
4875 , 40.95
4876 , 28.87
4877 , 30.74
4878 , 29.58
4879 , 25.07
4880 , 18.54
4881 , 25.57
4882 , 16.93
4883 , 20.22
4884 , 49.11
4885 , 43.88
4886 , 33.58
4887 , 43.47
4888 , 22.91
4889 , 23.36
4890 , 24.19
4891 , 45.83
4892 , 28.04
4893 , 38.51
4894 , 37.11
4895 , 26.75
4896 , 23.36
5761 , 20.86
5762 , 59.98
5763 , 27.24
5764 , 44.15
5765 , 17.67
5766 , 22.46
5767 , 47.67
5768 , 33.11
5769 , 29.92
5770 , 38.99
5771 , 32.28
5772 , 80.36
5773 , 29.45
5774 , 29.62
5775 , 52.09
5776 , 33.72
5777 , 59.75
5778 , 20.35
5779 , 49.73
5780 , 23.24
5781 , 62.04
5782 , 31.34
5783 , 27.66
5784 , 20.80
5785 , 43.47
5786 , 25.30
5787 , 23.49
5788 , 29.83
5789 , 25.52
5790 , 20.51
5791 , 24.67
5792 , 14.82
5793 , 32.65
5794 , 14.71
5795 , 18.03
5796 , 40.38
5797 , 33.08
5798 , 31.32
5799 , 20.49
5800 , 27.89
5801 , 44.71
5802 , 58.86
5803 , 25.86
5804 , 38.85
5805 , 26.14
5806 , 38.79
5807 , 55.24
5808 , 53.72
5809 , 18.94
5810 , 24.27
5811 , 29.39
5812 , 31.66
5813 , 43.60
5814 , 52.08
5815 , 34.90
5816 , 47.89
5817 , 18.79
5818 , 60.72
5819 , 20.50
5820 , 33.08
5821 , 51.35
5822 , 23.35
5823 , 26.89
5824 , 35.42
5825 , 39.06
5826 , 18.04
5827 , 19.92
5828 , 22.15
5829 , 33.71
5830 , 24.42
5831 , 21.53
5832 , 50.66
5833 , 21.96
5834 , 16.34
5835 , 44.35
5836 , 37.89
5837 , 29.91
5838 , 28.20
5839 , 30.66
5840 , 14.68
5841 , 26.02
5842 , 20.19
5843 , 20.06
5844 , 42.16
5845 , 31.63
5846 , 30.85
5847 , 46.01
5848 , 22.49
5849 , 24.29
5850 , 23.21
5851 , 38.31
5852 , 26.47
5853 , 37.07
5854 , 36.59
5855 , 27.76
5856 , 24.52
6721 , 23.54
6722 , 47.82
6723 , 28.48
6724 , 34.63
6725 , 16.19
6726 , 21.44
6727 , 39.80
6728 , 29.84
6729 , 29.80
6730 , 32.72
6731 , 26.64
6732 , 66.52
6733 , 30.86
6734 , 26.23
6735 , 47.05
6736 , 32.74
6737 , 48.45
6738 , 17.59
6739 , 53.86
6740 , 13.97
6741 , 67.61
6742 , 32.66
6743 , 26.04
6744 , 17.70
6745 , 46.31
6746 , 24.31
6747 , 17.04
6748 , 29.22
6749 , 22.30
6750 , 20.20
6751 , 22.19
6752 , 17.22
6753 , 27.56
6754 , 10.86
6755 , 14.17
6756 , 42.83
6757 , 28.17
6758 , 29.10
6759 , 17.37
6760 , 26.84
6761 , 43.73
6762 , 58.48
6763 , 30.99
6764 , 43.96
6765 , 24.68
6766 , 37.29
6767 , 53.59
6768 , 52.46
6769 , 17.05
6770 , 24.38
6771 , 34.37
6772 , 30.69
6773 , 44.53
6774 , 48.13
6775 , 32.84
6776 , 38.06
6777 , 19.17
6778 , 54.13
6779 , 20.26
6780 , 34.57
6781 , 53.20
6782 , 24.61
6783 , 24.88
6784 , 30.03
6785 , 29.81
6786 , 13.65
6787 , 15.63
6788 , 23.38
6789 , 24.19
6790 , 28.29
6791 , 18.03
6792 , 52.46
6793 , 23.78
6794 , 19.73
6795 , 40.00
6796 , 30.61
6797 , 37.20
6798 , 27.55
6799 , 26.73
6800 , 14.69
6801 , 22.92
6802 , 18.29
6803 , 18.57
6804 , 44.06
6805 , 38.59
6806 , 34.79
6807 , 41.70
6808 , 20.83
6809 , 26.19
6810 , 22.27
6811 , 42.58
6812 , 22.52
6813 , 40.48
6814 , 35.99
6815 , 28.71
6816 , 24.45
7681 , 25.22
7682 , 64.10
7683 , 26.52
7684 , 42.03
7685 , 17.78
7686 , 19.14
7687 , 40.46
7688 , 27.94
7689 , 34.09
7690 , 30.21
7691 , 30.63
7692 , 89.96
7693 , 27.49
7694 , 27.60
7695 , 47.31
7696 , 36.90
7697 , 57.94
7698 , 17.89
7699 , 48.72
7700 , 29.50
7701 , 63.75
7702 , 31.10
7703 , 25.95
7704 , 16.93
7705 , 41.89
7706 , 21.96
7707 , 16.59
7708 , 40.25
7709 , 21.11
7710 , 21.28
7711 , 31.09
7712 , 18.56
7713 , 25.73
7714 , 14.24
7715 , 17.87
7716 , 43.08
7717 , 31.84
7718 , 26.67
7719 , 16.74
7720 , 24.09
7721 , 42.18
7722 , 62.55
7723 , 28.78
7724 , 44.51
7725 , 25.51
7726 , 38.07
7727 , 54.62
7728 , 50.47
7729 , 17.90
7730 , 25.09
7731 , 35.79
7732 , 32.77
7733 , 29.35
7734 , 53.23
7735 , 32.89
7736 , 44.23
7737 , 19.90
7738 , 55.58
7739 , 21.29
7740 , 30.46
7741 , 56.92
7742 , 30.58
7743 , 26.37
7744 , 26.89
7745 , 28.82
7746 , 15.39
7747 , 21.57
7748 , 22.77
7749 , 25.80
7750 , 21.45
7751 , 15.05
7752 , 58.39
7753 , 22.98
7754 , 19.12
7755 , 37.45
7756 , 26.74
7757 , 29.56
7758 , 26.88
7759 , 26.81
7760 , 14.83
7761 , 25.08
7762 , 17.50
